# Two Dipoles. Parallel case. Opposite moments. $l=4$, $h=1$
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_mx,d1_my,d2_rx,d2_ry,d2_mx,d2_my,sum_zeta_square
0.000000,0.000000,0.000000,1.000000,0.000000,4.000000,1.000000,-1.000000,0.000000,2.000000
1.000000,0.117570,-0.000849,1.001515,0.000853,3.882430,1.000849,-1.001515,-0.000853,2.006066
2.000000,0.234942,-0.001813,1.003383,0.001987,3.765058,1.001813,-1.003383,-0.001987,2.013562
3.000000,0.352073,-0.002930,1.005703,0.003516,3.647927,1.002930,-1.005703,-0.003516,2.022904
4.000000,0.468904,-0.004255,1.008608,0.005610,3.531096,1.004255,-1.008608,-0.005610,2.034643
5.000000,0.585362,-0.005861,1.012267,0.008522,3.414638,1.005861,-1.012267,-0.008522,2.049515
6.000000,0.701355,-0.007849,1.016900,0.012642,3.298645,1.007849,-1.016900,-0.012642,2.068490
7.000000,0.816771,-0.010354,1.022777,0.018556,3.183229,1.010354,-1.022777,-0.018556,2.092834
8.000000,0.931472,-0.013526,1.030216,0.027150,3.068528,1.013526,-1.030216,-0.027150,2.124165
9.000000,1.045304,-0.017501,1.039550,0.039720,2.954696,1.017501,-1.039550,-0.039720,2.164482
10.000000,1.158099,-0.022302,1.051048,0.058079,2.841901,1.022302,-1.051048,-0.058079,2.216148
11.000000,1.269687,-0.027703,1.064770,0.084600,2.730313,1.027703,-1.064770,-0.084600,2.281784
12.000000,1.379900,-0.033062,1.080329,0.122145,2.620100,1.033062,-1.080329,-0.122145,2.364060
13.000000,1.488539,-0.037217,1.096576,0.173820,2.511461,1.037217,-1.096576,-0.173820,2.465385
14.000000,1.595313,-0.038513,1.111274,0.242569,2.404687,1.038513,-1.111274,-0.242569,2.587540
15.000000,1.699741,-0.034988,1.120862,0.330666,2.300259,1.034988,-1.120862,-0.330666,2.731342
16.000000,1.801056,-0.024663,1.120418,0.439167,2.198944,1.024663,-1.120418,-0.439167,2.896410
17.000000,1.898151,-0.005833,1.103901,0.567400,2.101849,1.005833,-1.103901,-0.567400,3.081079
18.000000,1.989599,0.022704,1.064656,0.712554,2.010401,0.977296,-1.064656,-0.712554,3.282450
19.000000,2.073726,0.061515,0.996162,0.869443,1.926274,0.938485,-0.996162,-0.869443,3.496539
20.000000,2.148733,0.110482,0.892906,1.030518,1.851267,0.889518,-0.892906,-1.030518,3.718497
21.000000,2.212829,0.168824,0.751282,1.186169,1.787171,0.831176,-0.751282,-1.186169,3.942841
22.000000,2.264377,0.235159,0.570382,1.325338,1.735623,0.764841,-0.570382,-1.325338,4.163711
22.999999,2.302014,0.307590,0.352561,1.436404,1.697986,0.692410,-0.352561,-1.436404,4.375114
23.999999,2.324754,0.383819,0.103678,1.508254,1.675246,0.616181,-0.103678,-1.508254,4.571157
24.999999,2.332072,0.461262,-0.167050,1.531414,1.667928,0.538738,0.167050,-1.531414,4.746272
25.999999,2.323953,0.537176,-0.447582,1.499125,1.676047,0.462824,0.447582,-1.499125,4.895410
26.999999,2.300916,0.608788,-0.723953,1.408192,1.699084,0.391212,0.723953,-1.408192,5.014226
27.999999,2.264015,0.673414,-0.981436,1.259522,1.735985,0.326586,0.981436,-1.259522,5.099224
28.999999,2.214805,0.728581,-1.205842,1.058248,1.785195,0.271419,1.205842,-1.058248,5.147885
29.999999,2.155297,0.772132,-1.384822,0.813414,1.844703,0.227868,1.384822,-0.813414,5.158747
30.999999,2.087875,0.802311,-1.509003,0.537254,1.912125,0.197689,1.509003,-0.537254,5.131463
31.999999,2.015212,0.817840,-1.572835,0.244126,1.984788,0.182160,1.572835,-0.244126,5.066816
32.999999,1.940160,0.817963,-1.575046,-0.050768,2.059840,0.182037,1.575046,0.050768,4.966695
33.999999,1.865636,0.802477,-1.518654,-0.332729,2.134364,0.197523,1.518654,0.332729,4.834038
34.999999,1.794498,0.771720,-1.410546,-0.588835,2.205502,0.228280,1.410546,0.588835,4.672735
35.999999,1.729428,0.726550,-1.260675,-0.808979,2.270572,0.273450,1.260675,0.808979,4.487498
36.999999,1.672816,0.668280,-1.080987,-0.986567,2.327184,0.331720,1.080987,0.986567,4.283697
37.999999,1.626646,0.598599,-0.884215,-1.118815,2.373354,0.401401,0.884215,1.118815,4.067169
38.999999,1.592412,0.519456,-0.682686,-1.206623,2.407588,0.480544,0.682686,1.206623,3.844001
39.999999,1.571037,0.432926,-0.487286,-1.254072,2.428963,0.567074,0.487286,1.254072,3.620288
40.999999,1.562821,0.341060,-0.306694,-1.267626,2.437179,0.658940,0.306694,1.267626,3.401872
41.999999,1.567424,0.245726,-0.146959,-1.255167,2.432576,0.754274,0.146959,1.255167,3.194081
42.999999,1.583883,0.148453,-0.011418,-1.224988,2.416117,0.851547,0.011418,1.224988,3.001452
43.999999,1.610679,0.050314,0.099061,-1.184876,2.389321,0.949686,-0.099061,1.184876,2.827487
44.999999,1.645872,-0.048128,0.185622,-1.141391,2.354128,1.048128,-0.185622,1.141391,2.674457
45.999999,1.687301,-0.146786,0.250837,-1.099422,2.312699,1.146786,-0.250837,1.099422,2.543294
46.999999,1.732846,-0.245907,0.298105,-1.062049,2.267154,1.245907,-0.298105,1.062049,2.433631
47.999999,1.780675,-0.345877,0.331108,-1.030711,2.219325,1.345877,-0.331108,1.030711,2.343993
48.999999,1.829430,-0.447022,0.353371,-1.005579,2.170570,1.447022,-0.353371,1.005579,2.272123
49.999999,1.878277,-0.549504,0.367956,-0.986047,2.121723,1.549504,-0.367956,0.986047,2.215359
50.999999,1.926819,-0.653306,0.377301,-0.971154,2.073181,1.653306,-0.377301,0.971154,2.170990
51.999999,1.974953,-0.758287,0.383205,-0.959900,2.025047,1.758287,-0.383205,0.959900,2.136509
52.999999,2.022719,-0.864254,0.386913,-0.951406,1.977281,1.864254,-0.386913,0.951406,2.109752
53.999999,2.070205,-0.971014,0.389242,-0.944967,1.929795,1.971014,-0.389242,0.944967,2.088944
54.999999,2.117495,-1.078399,0.390708,-0.940048,1.882505,2.078399,-0.390708,0.940048,2.072685
55.999999,2.164655,-1.186274,0.391635,-0.936253,1.835345,2.186274,-0.391635,0.936253,2.059895
56.999999,2.211729,-1.294535,0.392220,-0.933296,1.788271,2.294535,-0.392220,0.933296,2.049755
57.999999,2.258750,-1.403099,0.392589,-0.930966,1.741250,2.403099,-0.392589,0.930966,2.041647
58.999999,2.305736,-1.511906,0.392818,-0.929112,1.694264,2.511906,-0.392818,0.929112,2.035109
59.999999,2.352701,-1.620907,0.392956,-0.927622,1.647299,2.620907,-0.392956,0.927622,2.029793
60.999999,2.399653,-1.730067,0.393035,-0.926413,1.600347,2.730067,-0.393035,0.926413,2.025434
61.999999,2.446598,-1.839355,0.393076,-0.925423,1.553402,2.839355,-0.393076,0.925423,2.021833
62.999999,2.493540,-1.948749,0.393092,-0.924606,1.506460,2.948749,-0.393092,0.924606,2.018835
63.999999,2.540482,-2.058231,0.393091,-0.923927,1.459518,3.058231,-0.393091,0.923927,2.016323
64.999999,2.587424,-2.167788,0.393080,-0.923358,1.412576,3.167788,-0.393080,0.923358,2.014203
65.999999,2.634367,-2.277406,0.393063,-0.922877,1.365633,3.277406,-0.393063,0.922877,2.012403
66.999999,2.681313,-2.387077,0.393043,-0.922470,1.318687,3.387077,-0.393043,0.922470,2.010866
67.999998,2.728262,-2.496792,0.393020,-0.922122,1.271738,3.496792,-0.393020,0.922122,2.009546
68.999998,2.775213,-2.606546,0.392997,-0.921823,1.224787,3.606546,-0.392997,0.921823,2.008407
69.999998,2.822167,-2.716333,0.392973,-0.921565,1.177833,3.716333,-0.392973,0.921565,2.007419
70.999998,2.869124,-2.826149,0.392951,-0.921341,1.130876,3.826149,-0.392951,0.921341,2.006558
71.999998,2.916084,-2.935989,0.392929,-0.921146,1.083916,3.935989,-0.392929,0.921146,2.005805
72.999998,2.963046,-3.045852,0.392908,-0.920975,1.036954,4.045852,-0.392908,0.920975,2.005143
73.999998,3.010010,-3.155733,0.392889,-0.920825,0.989990,4.155733,-0.392889,0.920825,2.004559
74.999998,3.056977,-3.265631,0.392870,-0.920692,0.943023,4.265631,-0.392870,0.920692,2.004042
75.999998,3.103946,-3.375545,0.392853,-0.920575,0.896054,4.375545,-0.392853,0.920575,2.003583
76.999998,3.150916,-3.485471,0.392837,-0.920471,0.849084,4.485471,-0.392837,0.920471,2.003174
77.999998,3.197889,-3.595409,0.392821,-0.920378,0.802111,4.595409,-0.392821,0.920378,2.002809
78.999998,3.244864,-3.705357,0.392807,-0.920295,0.755136,4.705357,-0.392807,0.920295,2.002481
79.999998,3.291840,-3.815315,0.392794,-0.920221,0.708160,4.815315,-0.392794,0.920221,2.002186
80.999998,3.338817,-3.925282,0.392782,-0.920154,0.661183,4.925282,-0.392782,0.920154,2.001921
81.999998,3.385796,-4.035256,0.392771,-0.920093,0.614204,5.035256,-0.392771,0.920093,2.001680
82.999998,3.432777,-4.145237,0.392760,-0.920039,0.567223,5.145237,-0.392760,0.920039,2.001463
83.999998,3.479758,-4.255224,0.392750,-0.919989,0.520242,5.255224,-0.392750,0.919989,2.001265
84.999998,3.526741,-4.365216,0.392741,-0.919944,0.473259,5.365216,-0.392741,0.919944,2.001085
85.999998,3.573724,-4.475214,0.392732,-0.919903,0.426276,5.475214,-0.392732,0.919903,2.000922
86.999998,3.620709,-4.585217,0.392724,-0.919866,0.379291,5.585217,-0.392724,0.919866,2.000772
87.999998,3.667695,-4.695223,0.392717,-0.919832,0.332305,5.695223,-0.392717,0.919832,2.000634
88.999998,3.714681,-4.805234,0.392710,-0.919801,0.285319,5.805234,-0.392710,0.919801,2.000509
89.999998,3.761669,-4.915248,0.392704,-0.919772,0.238331,5.915248,-0.392704,0.919772,2.000393
90.999998,3.808657,-5.025266,0.392697,-0.919746,0.191343,6.025266,-0.392697,0.919746,2.000286
91.999998,3.855645,-5.135286,0.392692,-0.919721,0.144355,6.135286,-0.392692,0.919721,2.000188
92.999998,3.902635,-5.245310,0.392686,-0.919699,0.097365,6.245310,-0.392686,0.919699,2.000098
93.999998,3.949625,-5.355335,0.392681,-0.919678,0.050375,6.355335,-0.392681,0.919678,2.000014
94.999998,3.996615,-5.465364,0.392677,-0.919659,0.003385,6.465364,-0.392677,0.919659,1.999936
95.999998,4.043607,-5.575394,0.392672,-0.919641,-0.043607,6.575394,-0.392672,0.919641,1.999864
96.999998,4.090598,-5.685427,0.392668,-0.919625,-0.090598,6.685427,-0.392668,0.919625,1.999797
97.999998,4.137590,-5.795461,0.392664,-0.919610,-0.137590,6.795461,-0.392664,0.919610,1.999735
98.999998,4.184583,-5.905497,0.392661,-0.919596,-0.184583,6.905497,-0.392661,0.919596,1.999677
99.999998,4.231576,-6.015535,0.392657,-0.919582,-0.231576,7.015535,-0.392657,0.919582,1.999623
